,Tahun,Bulan,SektorEkonomi,percentNPL,pandemicTF,Inflasi,EconGrowth,Unemployment,valueChannel,biRate,NPL
0,2011,Jan,Pertanian Perburuan dan Kehutanan,0.047911473219999993,0,0.89,6.48,7.14,16447,6.5,788
1,2011,Jan,Perikanan,0.04410354746,0,0.89,6.48,7.14,2086,6.5,92
2,2011,Jan,Pertambangan dan Penggalian,0.0510105871,0,0.89,6.48,7.14,3117,6.5,159
3,2011,Jan,Industri Pengolahan,0.05591366698,0,0.89,6.48,7.14,41421,6.5,2316
4,2011,Jan,Listrik gas dan air,0.03546712803,0,0.89,6.48,7.14,1156,6.5,41
5,2011,Jan,Konstruksi,0.07269806726,0,0.89,6.48,7.14,19299,6.5,1403
6,2011,Jan,Perdagangan Besar dan Eceran,0.049280891730000005,0,0.89,6.48,7.14,160407,6.5,7905
7,2011,Jan,Penyediaan akomodasi dan penyediaan makan minum,0.05010706638,0,0.89,6.48,7.14,7005,6.5,351
8,2011,Jan,Transportasi pergudangan dan komunikasi,0.03392758973,0,0.89,6.48,7.14,12733,6.5,432
9,2011,Jan,Perantara Keuangan,0.014870482890000002,0,0.89,6.48,7.14,6254,6.5,93
10,2011,Jan,Real Estate Usaha Persewaan,0.02675750395,0,0.89,6.48,7.14,20256,6.5,542
11,2011,Jan,Admistrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,0.025641025640000002,0,0.89,6.48,7.14,195,6.5,5
12,2011,Jan,Jasa Pendidikan,0.014827018119999999,0,0.89,6.48,7.14,1214,6.5,18
13,2011,Jan,Jasa Kesehatan dan Kegiatan Sosial,0.0927592955,0,0.89,6.48,7.14,2555,6.5,237
14,2011,Jan,Jasa Kemasyarakatan Sosial Budaya Hiburan dan Perorangan lainnya,0.02822399039,0,0.89,6.48,7.14,19983,6.5,564
15,2011,Jan,Jasa Perorangan yang Melayani Rumah Tangga,0.06782464847,0,0.89,6.48,7.14,1209,6.5,82
