Tahun,Bulan,SektorEkonomi,PenyaluranKredit,NPL,percentNPL,Pandemic,pandemicTF,CreditChannelLog,Inflasi,EconGrowth,Unemployment,LogCreditChannel,valueNPL,valueChannel
2011,Jan,Pertanian Perburuan dan Kehutanan,16447,788,0.047911473,FALSE,0,4.216086692,0.89,6.48,7.14,13.21608669,788,16447
2011,Jan,Perikanan,2086,92,0.044103547,FALSE,0,3.319314304,0.89,6.48,7.14,12.3193143,92,2086
2011,Jan,Pertambangan dan Penggalian,3117,159,0.051010587,FALSE,0,3.493736802,0.89,6.48,7.14,12.4937368,159,3117
2011,Jan,Industri Pengolahan,41421,2316,0.055913667,FALSE,0,4.61722058,0.89,6.48,7.14,13.61722058,2316,41421
2011,Jan,Listrik gas dan air,1156,41,0.035467128,FALSE,0,3.062957834,0.89,6.48,7.14,12.06295783,41,1156
2011,Jan,Konstruksi,19299,1403,0.072698067,FALSE,0,4.285534806,0.89,6.48,7.14,13.28553481,1403,19299
2011,Jan,Perdagangan Besar dan Eceran,160407,7905,0.049280892,FALSE,0,5.205223317,0.89,6.48,7.14,14.20522332,7905,160407
2011,Jan,Penyediaan akomodasi dan penyediaan makan minum,7005,351,0.050107066,FALSE,0,3.84540814,0.89,6.48,7.14,12.84540814,351,7005
2011,Jan,Transportasi pergudangan dan komunikasi,12733,432,0.03392759,FALSE,0,4.104930739,0.89,6.48,7.14,13.10493074,432,12733
2011,Jan,Perantara Keuangan,6254,93,0.014870483,FALSE,0,3.796157877,0.89,6.48,7.14,12.79615788,93,6254
2011,Jan,Real Estate Usaha Persewaan,20256,542,0.026757504,FALSE,0,4.306553688,0.89,6.48,7.14,13.30655369,542,20256
2011,Jan,Admistrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,195,5,0.025641026,FALSE,0,2.290034611,0.89,6.48,7.14,11.29003461,5,195
2011,Jan,Jasa Pendidikan,1214,18,0.014827018,FALSE,0,3.084218687,0.89,6.48,7.14,12.08421869,18,1214
2011,Jan,Jasa Kesehatan dan Kegiatan Sosial,2555,237,0.092759296,FALSE,0,3.407390904,0.89,6.48,7.14,12.4073909,237,2555
2011,Jan,Jasa Kemasyarakatan Sosial Budaya Hiburan dan Perorangan lainnya,19983,564,0.02822399,FALSE,0,4.300660688,0.89,6.48,7.14,13.30066069,564,19983
2011,Jan,Jasa Perorangan yang Melayani Rumah Tangga,1209,82,0.067824648,FALSE,0,3.082426301,0.89,6.48,7.14,12.0824263,82,1209
2011,Jan,Badan Internasional dan Badan Ekstra Internasional Lainnya,88,3,0.034090909,FALSE,0,1.944482672,0.89,6.48,7.14,10.94448267,3,88
2011,Jan,Kegiatan yang belum jelas batasannya,44923,1085,0.024152439,FALSE,0,4.652468751,0.89,6.48,7.14,13.65246875,1085,44923
2011,Feb,Pertanian Perburuan dan Kehutanan,16922,809,0.047807588,FALSE,0,4.228451691,0.13,6.48,6.96,13.22845169,809,16922
2011,Feb,Perikanan,2088,84,0.040229885,FALSE,0,3.319730494,0.13,6.48,6.96,12.31973049,84,2088
2011,Feb,Pertambangan dan Penggalian,3219,112,0.034793414,FALSE,0,3.507720977,0.13,6.48,6.96,12.50772098,112,3219
2011,Feb,Industri Pengolahan,42166,2478,0.058767728,FALSE,0,4.624962404,0.13,6.48,6.96,13.6249624,2478,42166
2011,Feb,Listrik gas dan air,1173,51,0.043478261,FALSE,0,3.069298012,0.13,6.48,6.96,12.06929801,51,1173
2011,Feb,Konstruksi,20095,1308,0.065090819,FALSE,0,4.303088011,0.13,6.48,6.96,13.30308801,1308,20095
2011,Feb,Perdagangan Besar dan Eceran,162038,8179,0.050475814,FALSE,0,5.209616874,0.13,6.48,6.96,14.20961687,8179,162038
2011,Feb,Penyediaan akomodasi dan penyediaan makan minum,7128,363,0.050925926,FALSE,0,3.852967691,0.13,6.48,6.96,12.85296769,363,7128
2011,Feb,Transportasi pergudangan dan komunikasi,12845,428,0.033320358,FALSE,0,4.108734109,0.13,6.48,6.96,13.10873411,428,12845
2011,Feb,Perantara Keuangan,7053,103,0.014603715,FALSE,0,3.848373884,0.13,6.48,6.96,12.84837388,103,7053
2011,Feb,Real Estate Usaha Persewaan,12217,295,0.024146681,FALSE,0,4.086964574,0.13,6.48,6.96,13.08696457,295,12217
2011,Feb,Admistrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,178,5,0.028089888,FALSE,0,2.250420002,0.13,6.48,6.96,11.25042,5,178
2011,Feb,Jasa Pendidikan,1225,20,0.016326531,FALSE,0,3.088136089,0.13,6.48,6.96,12.08813609,20,1225
